ofertas,Empresa,Rango_Salario,Publicado,Link
Especialista proyectos de tecnologia,ALKOSTO,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/especialista-proyectos-de-tecnologia/1884479929
Gestor de requerimientos,Empresa confidencial,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/gestor-de-requerimientos/1884478255
Ingeniero desarrollador  back  front,SUMMAR PRODUCTIVIDAD S.A.S,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-desarrollador-back-front/1884479512
"Asesor hipotecario, excelentes comisiones-bogota",ADECCO COLOMBIA S A,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/asesor-hipotecario-excelentes-comisionesbogota/1884479531
Jefe comercial - barranquilla,Banco Falabella S.A.,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/jefe-comercial-barranquilla/1884416282
Ingeniero de desarrollo entidad financiera,SERDAN SA,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-de-desarrollo-entidad-financiera/1884479245
Analista senior de compras,DIRECTV COLOMBIA LTDA,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/analista-senior-de-compras/1884478986
Ingeniero de calidad,Empresa confidencial,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-de-calidad/1884479577
Ingeniero agronomo comercial poscocecha,GRUPO SOLUCIONES HORIZONTE,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-agronomo-comercial-poscocecha/1884479546
Coordinador comercial canales de distribucion,Empresa confidencial,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/coordinador-comercial-canales-de-distribucion/1884480101
Gestor de comunicaciones digitales,Compensar,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/gestor-de-comunicaciones-digitales/1884479602
Ingeniero desarrollador  back  front,SUMMAR PRODUCTIVIDAD S.A.S,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-desarrollador-back-front/1884479512
Auditor ruc - bogota,CONSEJO COLOMBIANO DE SEGURIDAD,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/auditor-ruc-bogota/1884478253
"Asesor hipotecario, excelentes comisiones-bogota",ADECCO COLOMBIA S A,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/asesor-hipotecario-excelentes-comisionesbogota/1884479531
Hse basico- villavicencio,Empresa confidencial,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/hse-basico-villavicencio/1884479210
Lider de diseno digital,El Tiempo Casa Editorial,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/lider-de-diseno-digital/1884478833
Profesional social,Empresa confidencial,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/profesional-social/1884479513
